Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
2005-0360-PAK,2005,0360,Natural,Hydrological,Flood,Riverine flood,,,Affected,Pakistan,PAK,Southern Asia,Asia,"Monda village (Doda district, Jammu and Kashmir province), Charsadda, Chitral, D. I. Khan, Karak, Nowshera, Mansehra, Peshawar, Shangla, Swat districts (North-West Frontier province), Dadu, Ghotki, Thatta, Jacobabad, Khairpur, Shikarpur, Sukkur districts (Sindh province), Punjab province",Heavy snowfall during winter and unprecedented high temperatures,,,,,,958,28630,Km2,,,,"Upper Indus tributariesKabul, Swat, Shalam, Kunar, Chitral, Panjkora.",2005,6,21,2005,8,5,39,,460073,,460073,,,,76.38802721
2006-0663-PAK,2006,0663,Natural,Hydrological,Flood,,,,Kill,Pakistan,PAK,Southern Asia,Asia,Jammu and Kashmir provinces,,"Slide (land, mud, snow, rock)",Cold wave,,,,,,Km2,,,,,2006,12,,2006,12,,20,,,,,,,,78.85225551
2006-0389-PAK,2006,0389,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Jammu and Kashmir, Punjab, North-West Frontier provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,124,42570,Km2,34.61,73.2,,"Kunhar, Kabul, Swat rivers",2006,7,24,2006,8,22,40,,2000,,2000,,,,78.85225551
2006-0733-PAK,2006,0733,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,Mardan district (North-West Frontier province),Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,,,,,2006,8,3,2006,8,8,233,175,,600,775,,,,78.85225551
2006-0342-NPL,2006,0342,Natural,Hydrological,Flood,Riverine flood,,,Kill,Nepal,NPL,Southern Asia,Asia,"Banke area (Bheri district, Mid Western province), Kaski area (Gandaki district, Western province)",Monsoonal rain,,,,,,,,Km2,25.62,83.67,,,2006,6,24,2006,8,3,,,,,,,,,78.85225551
2006-0548-PAK,2006,0548,Natural,Hydrological,Flood,Flash flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Punjab, Jammu and Kashmir provinces",Monsoonal rain,,,,,,,,Km2,32.89,73.88,,,2006,8,31,2006,9,11,20,,,,,,,,78.85225551
2006-0365-PAK,2006,0365,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Govek, Faqir, Api villages (North Waziristan Agency district, Federally Administered Tribal Areas province)",Heavy rain,,,,,,,,Km2,33.06,69.95,,,2006,7,9,2006,7,13,13,300,,,300,,,,78.85225551
2006-0414-PAK,2006,0414,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,"Karachi Central, Karachi East, Karachi South, Karachi West districts (Sindh province)",Monsoonal rain,,,,,,,2748,Km2,25.03,67.12,,Indus,2006,8,1,2006,8,22,74,50,,5000,5050,,,,78.85225551
2006-0417-PAK,2006,0417,Natural,Hydrological,Flood,Riverine flood,,,Kill,Pakistan,PAK,Southern Asia,Asia,Sindh province,Monsoonal rain,,,,,,,,Km2,20.19,73.82,,,2006,7,28,2006,9,12,,,,,,,,,78.85225551
2007-0161-BGD,2007,0161,Natural,Hydrological,Flood,Riverine flood,,,Kill,Bangladesh,BGD,Southern Asia,Asia,Chittagong district (Chittagong province),Monsoonal rain,"Slide (land, mud, snow, rock)",,,,,,,Km2,22.4,91.95,,,2007,6,11,2007,6,12,120,60,80000,,80060,,,14000,81.10165893
